name_id,folder_path,mutant_num,mutated_line,mutant_vers,mutant_code_from_mutated_line,did_it_crash,last_data_modification_date,last_data_modification_time,last_status_change_date,last_status_change_time,last_access_date,last_access_time,last_inode_date,last_inode_time,duration
Num1Line7Vers1,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1Line7Vers1,1,7,1,"% statement deleted: iMaxArrayLengthAlloc = uint32(19);
",True,2024-02-06,2024-02-07 16:59:11,2024-02-06,2024-02-07 16:59:05,2024-02-06,2024-02-07 16:59:05,2024-02-06,2024-02-07 16:58:48,0 days 00:00:23
Num1002Line116Vers17,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1002Line116Vers17,1002,116,17,"        a1Mat((ii-2)*ivar + jj) = xhatact(1.8); % constant replaced: 2 -> 1.8
",True,2024-02-06,2024-02-07 21:54:55,2024-02-06,2024-02-07 21:54:50,2024-02-06,2024-02-07 21:54:50,2024-02-06,2024-02-07 21:54:31,0 days 00:00:24
Num1003Line116Vers18,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1003Line116Vers18,1003,116,18,"        a1Mat((ii-2)*ivar + jj) = xhatact(2.2); % constant replaced: 2 -> 2.2
",True,2024-02-06,2024-02-07 18:41:26,2024-02-06,2024-02-07 18:41:19,2024-02-06,2024-02-07 18:41:19,2024-02-06,2024-02-07 18:40:49,0 days 00:00:37
Num1004Line116Vers19,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1004Line116Vers19,1004,116,19,"        a1Mat((ii-2)*ivar - jj) = xhatact(2); % operator replaced: '+' -> '-'
",True,2024-02-06,2024-02-07 19:12:31,2024-02-06,2024-02-07 19:12:24,2024-02-06,2024-02-07 19:12:24,2024-02-06,2024-02-07 19:12:04,0 days 00:00:27
Num1005Line116Vers20,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1005Line116Vers20,1005,116,20,"        a1Mat((ii-2)*ivar * jj) = xhatact(2); % operator replaced: '+' -> '*'
",True,2024-02-06,2024-02-07 20:49:03,2024-02-06,2024-02-07 20:48:53,2024-02-06,2024-02-07 20:48:53,2024-02-06,2024-02-07 20:48:32,0 days 00:00:31
Num1006Line116Vers21,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1006Line116Vers21,1006,116,21,"        a1Mat((ii-2)*ivar / jj) = xhatact(2); % operator replaced: '+' -> '/'
",True,2024-02-06,2024-02-07 17:38:08,2024-02-06,2024-02-07 17:38:01,2024-02-06,2024-02-07 17:38:01,2024-02-06,2024-02-07 17:37:42,0 days 00:00:26
Num1007Line116Vers22,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1007Line116Vers22,1007,116,22,"        a1Mat((ii-2)*ivar \ jj) = xhatact(2); % operator replaced: '+' -> '\'
",True,2024-02-06,2024-02-07 22:50:20,2024-02-06,2024-02-07 22:50:15,2024-02-06,2024-02-07 22:50:15,2024-02-06,2024-02-07 22:50:02,0 days 00:00:18
Num1008Line116Vers23,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1008Line116Vers23,1008,116,23,"        a1Mat((ii-2)*ivar ^ jj) = xhatact(2); % operator replaced: '+' -> '^'
",True,2024-02-06,2024-02-07 16:17:11,2024-02-06,2024-02-07 16:17:04,2024-02-06,2024-02-07 16:17:04,2024-02-06,2024-02-07 16:16:33,0 days 00:00:38
Num1017Line116Vers32,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1017Line116Vers32,1017,116,32,"        a1Mat((ii-2)\ivar + jj) = xhatact(2); % operator replaced: '*' -> '\'
",True,2024-02-06,2024-02-07 22:32:43,2024-02-06,2024-02-07 22:32:35,2024-02-06,2024-02-07 22:32:35,2024-02-06,2024-02-07 22:32:16,0 days 00:00:27
Num1019Line116Vers34,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1019Line116Vers34,1019,116,34,"        a1Mat((ii-2)*ivar .* jj) = xhatact(2); % operator replaced: '+' -> '.*'
",True,2024-02-06,2024-02-07 16:59:32,2024-02-06,2024-02-07 16:59:26,2024-02-06,2024-02-07 16:59:26,2024-02-06,2024-02-07 16:59:09,0 days 00:00:23
Num1020Line116Vers35,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1020Line116Vers35,1020,116,35,"        a1Mat((ii-2)*ivar ./ jj) = xhatact(2); % operator replaced: '+' -> './'
",True,2024-02-06,2024-02-07 23:59:38,2024-02-06,2024-02-07 23:59:33,2024-02-06,2024-02-07 23:59:33,2024-02-06,2024-02-07 23:59:19,0 days 00:00:19
Num1021Line116Vers36,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1021Line116Vers36,1021,116,36,"        a1Mat((ii-2)*ivar .\ jj) = xhatact(2); % operator replaced: '+' -> '.\'
",True,2024-02-06,2024-02-07 15:49:04,2024-02-06,2024-02-07 15:48:57,2024-02-06,2024-02-07 15:48:57,2024-02-06,2024-02-07 15:48:38,0 days 00:00:26
Num1022Line116Vers37,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1022Line116Vers37,1022,116,37,"        a1Mat((ii-2)*ivar .^ jj) = xhatact(2); % operator replaced: '+' -> '.^'
",True,2024-02-06,2024-02-07 18:31:36,2024-02-06,2024-02-07 18:31:31,2024-02-06,2024-02-07 18:31:31,2024-02-06,2024-02-07 18:31:11,0 days 00:00:25
Num1029Line117Vers3,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1029Line117Vers3,1029,117,3,"        b-2Mat((ii-2)*ivar + jj) = xhatact(3); % constant replaced: 2 -> -2
",True,2024-02-06,2024-02-07 22:58:05,2024-02-06,2024-02-07 22:58:01,2024-02-06,2024-02-07 22:58:01,2024-02-06,2024-02-07 22:57:49,0 days 00:00:16
Num1032Line117Vers6,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1032Line117Vers6,1032,117,6,"        b1.8Mat((ii-2)*ivar + jj) = xhatact(3); % constant replaced: 2 -> 1.8
",True,2024-02-06,2024-02-07 21:42:55,2024-02-06,2024-02-07 21:42:49,2024-02-06,2024-02-07 21:42:49,2024-02-06,2024-02-07 21:42:28,0 days 00:00:27
Num1033Line117Vers7,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1033Line117Vers7,1033,117,7,"        b2.2Mat((ii-2)*ivar + jj) = xhatact(3); % constant replaced: 2 -> 2.2
",True,2024-02-06,2024-02-07 13:22:08,2024-02-06,2024-02-07 13:22:02,2024-02-06,2024-02-07 13:22:02,2024-02-06,2024-02-07 13:21:49,0 days 00:00:19
Num1040Line117Vers14,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1040Line117Vers14,1040,117,14,"        b2Mat((ii-2)*ivar + jj) = xhatact(0); % constant replaced: 3 -> 0
",True,2024-02-06,2024-02-07 19:02:08,2024-02-06,2024-02-07 19:02:03,2024-02-06,2024-02-07 19:02:03,2024-02-06,2024-02-07 19:01:47,0 days 00:00:21
Num1041Line117Vers15,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1041Line117Vers15,1041,117,15,"        b2Mat((ii-2)*ivar + jj) = xhatact(-3); % constant replaced: 3 -> -3
",True,2024-02-06,2024-02-07 21:05:28,2024-02-06,2024-02-07 21:05:20,2024-02-06,2024-02-07 21:05:20,2024-02-06,2024-02-07 21:04:52,0 days 00:00:36
Num1044Line117Vers18,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1044Line117Vers18,1044,117,18,"        b2Mat((ii-2)*ivar + jj) = xhatact(2.7); % constant replaced: 3 -> 2.7
",True,2024-02-06,2024-02-07 23:01:25,2024-02-06,2024-02-07 23:01:21,2024-02-06,2024-02-07 23:01:21,2024-02-06,2024-02-07 23:01:10,0 days 00:00:15
Num1045Line117Vers19,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1045Line117Vers19,1045,117,19,"        b2Mat((ii-2)*ivar + jj) = xhatact(3.3); % constant replaced: 3 -> 3.3
",True,2024-02-06,2024-02-07 23:22:38,2024-02-06,2024-02-07 23:22:33,2024-02-06,2024-02-07 23:22:33,2024-02-06,2024-02-07 23:22:22,0 days 00:00:16
Num1046Line117Vers20,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1046Line117Vers20,1046,117,20,"        b2Mat((ii-2)*ivar - jj) = xhatact(3); % operator replaced: '+' -> '-'
",True,2024-02-06,2024-02-07 14:32:55,2024-02-06,2024-02-07 14:32:51,2024-02-06,2024-02-07 14:32:51,2024-02-06,2024-02-07 14:32:41,0 days 00:00:14
Num1047Line117Vers21,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1047Line117Vers21,1047,117,21,"        b2Mat((ii-2)*ivar * jj) = xhatact(3); % operator replaced: '+' -> '*'
",True,2024-02-06,2024-02-07 12:39:27,2024-02-06,2024-02-07 12:39:22,2024-02-06,2024-02-07 12:39:22,2024-02-06,2024-02-07 12:39:09,0 days 00:00:18
Num1048Line117Vers22,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1048Line117Vers22,1048,117,22,"        b2Mat((ii-2)*ivar / jj) = xhatact(3); % operator replaced: '+' -> '/'
",True,2024-02-06,2024-02-07 13:28:00,2024-02-06,2024-02-07 13:27:54,2024-02-06,2024-02-07 13:27:54,2024-02-06,2024-02-07 13:27:41,0 days 00:00:19
Num1049Line117Vers23,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1049Line117Vers23,1049,117,23,"        b2Mat((ii-2)*ivar \ jj) = xhatact(3); % operator replaced: '+' -> '\'
",True,2024-02-06,2024-02-07 13:59:40,2024-02-06,2024-02-07 13:59:35,2024-02-06,2024-02-07 13:59:35,2024-02-06,2024-02-07 13:59:25,0 days 00:00:15
Num1050Line117Vers24,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1050Line117Vers24,1050,117,24,"        b2Mat((ii-2)*ivar ^ jj) = xhatact(3); % operator replaced: '+' -> '^'
",True,2024-02-06,2024-02-07 17:18:52,2024-02-06,2024-02-07 17:18:45,2024-02-06,2024-02-07 17:18:45,2024-02-06,2024-02-07 17:18:24,0 days 00:00:28
Num1059Line117Vers33,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1059Line117Vers33,1059,117,33,"        b2Mat((ii-2)\ivar + jj) = xhatact(3); % operator replaced: '*' -> '\'
",True,2024-02-06,2024-02-07 14:13:40,2024-02-06,2024-02-07 14:13:35,2024-02-06,2024-02-07 14:13:35,2024-02-06,2024-02-07 14:13:24,0 days 00:00:16
Num1061Line117Vers35,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1061Line117Vers35,1061,117,35,"        b2Mat((ii-2)*ivar .* jj) = xhatact(3); % operator replaced: '+' -> '.*'
",True,2024-02-06,2024-02-07 19:09:16,2024-02-06,2024-02-07 19:09:10,2024-02-06,2024-02-07 19:09:10,2024-02-06,2024-02-07 19:08:55,0 days 00:00:21
