,mutant_id,HMR1_v,HMR1_nv,HMR1_cr,HMR2_v,HMR2_nv,HMR2_cr,HMR3_v,HMR3_nv,HMR3_cr,mutant_status
0,Num84Line13Vers2,0,115,0,0,115,0,0,115,0,eqv/surv
1,Num232Line16Vers38,0,115,0,0,115,0,0,115,0,eqv/surv
2,Num1230Line139Vers15,0,115,0,0,115,0,0,115,0,eqv/surv
3,Num46Line10Vers7,0,115,0,0,115,0,2,113,0,killed
4,Num117Line13Vers35,0,115,0,0,115,0,0,115,0,eqv/surv
5,Num161Line15Vers5,0,115,0,0,115,0,0,115,0,eqv/surv
6,Num336Line34Vers8,115,0,0,115,0,0,2,0,0,killed
7,Num324Line33Vers3,71,44,0,0,115,0,98,16,0,killed
8,Num192Line15Vers36,0,115,0,0,115,0,0,115,0,eqv/surv
9,Num446Line60Vers1,76,39,0,2,113,0,94,21,0,killed
10,Num920Line114Vers25,5,110,0,0,115,0,29,86,0,killed
11,Num1297Line141Vers9,0,115,0,0,115,0,0,115,0,eqv/surv
12,Num774Line101Vers50,65,50,0,0,115,0,37,78,0,killed
13,Num113Line13Vers31,0,115,0,0,115,0,0,115,0,eqv/surv
14,Num253Line20Vers4,0,115,0,0,115,0,0,115,0,eqv/surv
15,Num1343Line149Vers2,0,115,0,0,115,0,113,2,0,killed
16,Num419Line43Vers5,115,0,0,115,0,0,2,0,0,killed
17,Num1219Line139Vers4,115,0,0,1,114,0,20,0,0,killed
18,Num1072Line118Vers4,114,0,0,0,115,0,2,0,0,killed
19,Num1145Line122Vers27,1,114,0,1,114,0,8,106,0,killed
20,Num108Line13Vers26,0,115,0,0,115,0,0,115,0,eqv/surv
21,Num1309Line144Vers8,0,115,0,0,115,0,0,115,0,eqv/surv
22,Num165Line15Vers9,0,115,0,0,115,0,0,115,0,eqv/surv
23,Num105Line13Vers23,0,115,0,0,115,0,0,115,0,eqv/surv
24,Num179Line15Vers23,0,115,0,0,115,0,0,115,0,eqv/surv
25,Num292Line20Vers43,0,115,0,0,115,0,0,115,0,eqv/surv
26,Num678Line88Vers8,0,115,0,0,115,0,0,115,0,eqv/surv
27,Num461Line61Vers10,113,2,0,0,115,0,101,14,0,killed
28,Num474Line63Vers10,1,114,0,0,115,0,19,96,0,killed
29,Num1304Line144Vers3,0,115,0,0,115,0,0,115,0,eqv/surv
30,Num520Line82Vers3,0,115,0,0,115,0,56,59,0,killed
31,Num810Line104Vers11,0,115,0,0,115,0,0,115,0,eqv/surv
32,Num452Line61Vers1,68,47,0,0,115,0,95,20,0,killed
33,Num266Line20Vers17,0,115,0,0,115,0,0,115,0,eqv/surv
34,Num1237Line139Vers22,4,111,0,0,115,0,4,111,0,killed
35,Num248Line19Vers8,0,115,0,0,115,0,0,115,0,eqv/surv
36,Num407Line42Vers10,84,31,0,0,115,0,92,23,0,killed
37,Num1111Line119Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
38,Num39Line9Vers13,0,115,0,0,115,0,0,115,0,killed
39,Num1293Line141Vers5,0,115,0,0,115,0,0,115,0,eqv/surv
40,Num826Line104Vers27,0,115,0,0,115,0,17,98,0,killed
41,Num262Line20Vers13,0,115,0,0,115,0,0,115,0,eqv/surv
42,Num510Line72Vers12,114,0,0,0,115,0,84,31,0,killed
43,Num216Line16Vers22,0,115,0,0,115,0,0,115,0,eqv/surv
44,Num91Line13Vers9,0,115,0,0,115,0,0,115,0,eqv/surv
45,Num202Line16Vers8,0,115,0,0,115,0,0,115,0,eqv/surv
46,Num524Line82Vers7,0,115,0,0,115,0,56,59,0,killed
47,Num1329Line146Vers15,115,0,0,0,114,0,61,54,0,killed
48,Num569Line84Vers17,112,0,0,0,115,0,28,83,0,killed
49,Num101Line13Vers19,0,115,0,0,115,0,0,115,0,eqv/surv
50,Num280Line20Vers31,0,115,0,0,115,0,0,115,0,eqv/surv
51,Num139Line14Vers20,0,115,0,0,115,0,0,115,0,eqv/surv
52,Num187Line15Vers31,0,115,0,0,115,0,0,115,0,eqv/surv
53,Num144Line14Vers25,0,115,0,0,115,0,0,115,0,eqv/surv
