,test_id,delta_phi,sum_err,current_min,expected_minimal_error,diff,relative_dif
0,VRfNx3Krud5jD43PHgxJdc,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[19.0589142, 18.3292236, 17.7939205, 17.4361076, 17.2416687, 17.1988869, 17.2981663, 17.1317631, 17.1935928, 17.3790932, 17.9850922, 19.7097111, 20.5523415, 21.5135536, 22.5951385, 23.8000832, 25.132618, 26.5983162, 28.2040863, 29.9583874, 31.8713226]",17.1317631,17.9850922,0.8533290999999998,-4.744646791413167
1,SVumrKz2o5MrZ4LmouTKTt,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[20055.4609, 55277.8086, 3975.10156, 1310.41467, 644.359741, 384.223389, 257.318878, 186.482635, 143.193878, 114.959351, 95.62063599999999, 134.86264, 124.776764, 117.202576, 111.403412, 106.894157, 103.34549, 100.528084, 98.2786331, 96.4787903, 95.0415192]",95.0415192,95.62063599999999,0.5791167999999942,-0.6056399792195424
2,x9GsMzyJggmJVBFwtDdWgGy,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[23.4744816, 23.1784153, 22.9926395, 22.8965454, 22.8744888, 22.9145317, 23.0075188, 23.1464157, 23.3258228, 23.541626, 23.7907467, 24.0709229, 24.3805656, 24.7186661, 25.0846939, 25.4785404, 25.9004612, 26.351099, 26.831377, 27.3425732, 27.8862495]",22.8744888,23.7907467,0.916257899999998,-3.8513204799914833
3,HGG3ZoLQDvNSCo68FfqnyR,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[44.6777573, 44.5187416, 44.4110069, 44.3637581, 44.3952103, 44.5423164, 44.8857155, 45.6247559, 47.3629608, 52.694, 86.1176758, 2186.0083, 69.3867416, 50.709816, 46.8495178, 45.4832268, 44.8839417, 44.602272, 44.4793091, 44.4471817, 44.472847]",44.3637581,45.1176758,0.7539177000000024,-1.6710029642085473
4,HrsMvznCqa4BcUSMQxhswN,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[2.78490877, 2.34737301, 1.94929814, 1.59037066, 1.2704438, 0.98954463, 0.747880459, 0.545850515, 0.384059668, 0.26333189, 0.184734136, 0.149598986, 0.159554362, 0.2165595, 0.322950274, 0.481487632, 0.695423961, 0.968580723, 1.30543709, 1.71125031, 2.19218659]",0.149598986,0.184734136,0.035135150000000004,-19.019305668552782
5,iZ6RWNFtznDcnW86BLoVzz,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[109.184349, 98.084579, 88.7444839, 80.8205261, 74.0529327, 68.2427444, 63.236328099999994, 58.913848900000005, 55.181579600000006, 51.96595, 49.2092552, 55.8667336, 53.9038849, 52.2950439, 51.0219193, 50.072731, 49.4415283, 49.1277275, 49.136, 49.4760742, 50.1629257]",49.1277275,49.2092552,0.08152770000000231,-0.16567554145790508
6,JSoCQLK4JncUyGkTJmBf8U,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[293.066589, 205.098114, 156.545746, 128.725357, 112.729172, 103.956284, 99.8983612, 99.1497192, 100.93251, 104.85878, 99.812302, 100.93251, 104.85878, 110.812302, 118.897392, 129.433929, 142.991623, 160.472443, 183.262604, 213.503494, 254.579483, 312.036957, 395.408, 522.113098]",99.1497192,99.812302,0.6625827999999956,-0.6638287933685725
7,grCYYqDppVgYjxEzo9gi8b,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[5.67271471, 5.29475975, 4.94669056, 4.62807178, 4.33867407, 4.07845926, 3.84759, 3.64639974, 3.47541857, 3.33536601, 3.22714663, 3.15187955, 3.11088657, 3.10571933, 3.13817477, 3.21030688, 3.32445765, 3.48328471, 3.68978691, 3.9473505, 4.25978947]",3.10571933,3.22714663,0.12142730000000013,-3.7626830733749497
8,GXKoJAoFCeMDN9hNHHZJbw,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[207.669739, 176.807358, 152.740906, 133.695251, 118.43403599999999, 106.074821, 95.976082, 87.662796, 80.7776, 75.0483704, 70.2648468, 85.2632141, 81.9144058, 79.1159363, 76.7859192, 74.8583679, 73.2801208, 72.0079727, 71.0069, 70.2485275, 69.7098694]",69.7098694,70.2648468,0.5549773999999985,-0.7898364904710764
9,DmDYBcDbmmYZFZEFtSzUHf,"[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[12.2155399, 11.5836983, 10.9986668, 10.4575081, 9.9575558, 9.4964008, 9.0718632, 8.68196487, 8.32491493, 7.9990921, 7.70303, 8.4354, 8.19500351, 7.98075962, 7.7916975, 7.62694645, 7.48572826, 7.36735725, 7.27122355, 7.19680166, 7.1436348]",7.1436348,7.70303,0.5593952,-7.2620150771839125
