,file_name,cnt_no_v,cnt_v,otro,status
0,Num1246Line140Vers4,0,47,68,[]
1,Num101Line13Vers19,115,0,0,[]
2,Num288Line20Vers39,115,0,0,[]
3,Num422Line43Vers8,115,0,0,[]
4,Num266Line20Vers17,115,0,0,[]
5,Num1212Line138Vers10,0,47,68,[]
6,Num10Line7Vers10,115,0,0,[]
7,Num738Line101Vers14,2,112,1,[]
8,Num12Line7Vers12,115,0,0,[]
9,Num1337Line146Vers23,5,110,0,[]
10,Num1329Line146Vers15,0,115,0,[]
11,Num354Line38Vers3,115,0,0,[]
12,Num222Line16Vers28,115,0,0,[]
13,Num1302Line144Vers1,115,0,0,[]
14,Num233Line17Vers1,115,0,0,[]
15,Num1129Line122Vers11,115,0,0,[]
16,Num1292Line141Vers4,115,0,0,[]
17,Num299Line21Vers4,115,0,0,[]
18,Num352Line38Vers1,115,0,0,[]
19,Num1335Line146Vers21,0,115,0,[]
20,Num405Line42Vers8,104,11,0,[]
21,Num291Line20Vers42,115,0,0,[]
22,Num223Line16Vers29,115,0,0,[]
23,Num509Line72Vers11,3,112,0,[]
24,Num166Line15Vers10,115,0,0,[]
25,Num439Line51Vers3,47,0,68,[]
26,Num774Line101Vers50,2,113,0,[]
27,Num920Line114Vers25,103,12,0,[]
28,Num1350Line149Vers9,115,0,0,[]
29,Num1139Line122Vers21,47,0,68,[]
30,Num191Line15Vers35,115,0,0,[]
31,Num100Line13Vers18,115,0,0,[]
32,Num763Line101Vers39,7,107,1,[]
33,Num1327Line146Vers13,0,115,0,[]
34,Num532Line82Vers15,63,52,0,[]
35,Num1386Line152Vers10,115,0,0,[]
36,Num48Line11Vers2,115,0,0,[]
37,Num1251Line140Vers9,0,47,68,[]
38,Num810Line104Vers11,115,0,0,[]
39,Num1331Line146Vers17,0,115,0,[]
40,Num327Line33Vers6,47,0,68,[]
41,Num1293Line141Vers5,115,0,0,[]
42,Num1304Line144Vers3,115,0,0,[]
43,Num297Line21Vers2,115,0,0,[]
44,Num1318Line146Vers4,0,115,0,[]
45,Num526Line82Vers9,63,52,0,[]
46,Num1374Line151Vers9,115,0,0,[]
47,Num148Line14Vers29,115,0,0,[]
48,Num279Line20Vers30,115,0,0,[]
49,Num108Line13Vers26,115,0,0,[]
