,file_name,cnt_no_v_g,cnt_v_g,otro_g,status_g,cnt_no_v_l,cnt_v_l,otro_l,status_l,cnt_no_v_e,cnt_v_e,otro_e,status_e
0,Num439Line51Vers3,0,115,0,[],0,115,0,[],115,0,0,[]
1,Num295Line20Vers46,35,80,0,[],25,90,0,[],30,85,0,[]
2,Num1354Line150Vers2,35,80,0,[],25,90,0,[],30,85,0,[]
3,Num297Line21Vers2,35,80,0,[],25,90,0,[],30,85,0,[]
4,Num139Line14Vers20,35,80,0,[],25,90,0,[],30,85,0,[]
5,Num1166Line133Vers1,0,0,16,[],0,0,16,[],0,0,16,[]
6,Num304Line22Vers3,35,80,0,[],25,90,0,[],30,85,0,[]
7,Num519Line82Vers2,0,0,16,[],0,0,16,[],0,0,16,[]
8,Num680Line88Vers10,35,80,0,[],25,90,0,[],30,85,0,[]
9,Num1374Line151Vers9,35,80,0,[],25,90,0,[],30,85,0,[]
10,Num230Line16Vers36,0,0,16,[],0,0,16,[],0,0,16,[]
11,Num285Line20Vers36,35,80,0,[],25,90,0,[],30,85,0,[]
12,Num112Line13Vers30,35,80,0,[],25,90,0,[],30,85,0,[]
13,Num352Line38Vers1,0,0,16,[],0,0,16,[],0,0,16,[]
14,Num378Line41Vers22,0,0,16,[],0,0,16,[],0,0,16,[]
15,Num1111Line119Vers1,35,80,0,[],25,90,0,[],30,85,0,[]
16,Num1296Line141Vers8,35,80,0,[],25,90,0,[],30,85,0,[]
17,Num25Line8Vers12,35,80,0,[],25,90,0,[],30,85,0,[]
18,Num758Line101Vers34,28,87,0,[],27,88,0,[],19,96,0,[]
19,Num1306Line144Vers5,0,0,16,[],0,0,16,[],0,0,16,[]
20,Num252Line20Vers3,35,80,0,[],25,90,0,[],30,85,0,[]
21,Num250Line20Vers1,35,80,0,[],25,90,0,[],30,85,0,[]
22,Num266Line20Vers17,35,80,0,[],25,90,0,[],30,85,0,[]
23,Num127Line14Vers8,0,0,16,[],0,0,16,[],0,0,16,[]
24,Num145Line14Vers26,35,80,0,[],25,90,0,[],30,85,0,[]
25,Num414Line42Vers17,22,93,0,[],21,94,0,[],27,88,0,[]
26,Num1139Line122Vers21,45,60,10,[],0,105,10,[],59,46,10,[]
27,Num405Line42Vers8,11,103,1,[],14,100,1,[],30,84,1,[]
28,Num191Line15Vers35,35,80,0,[],25,90,0,[],30,85,0,[]
