,file_name,cnt_v,cnt_no_v,otro,status
0,Num399Line42Vers2,0,115,0,[]
1,Num279Line20Vers30,0,115,0,[]
2,Num775Line101Vers51,0,115,0,[]
3,Num810Line104Vers11,0,115,0,[]
4,Num142Line14Vers23,0,115,0,[]
5,Num434Line43Vers20,114,1,0,[]
6,Num224Line16Vers30,0,115,0,[]
7,Num189Line15Vers33,0,115,0,[]
8,Num519Line82Vers2,0,115,0,[]
9,Num138Line14Vers19,0,115,0,[]
10,Num44Line10Vers5,0,115,0,[]
11,Num43Line10Vers4,0,115,0,[]
12,Num176Line15Vers20,0,115,0,[]
13,Num70Line11Vers24,0,115,0,[]
14,Num223Line16Vers29,0,115,0,[]
15,Num1230Line139Vers15,0,115,0,[]
16,Num428Line43Vers14,0,115,0,[]
17,Num337Line34Vers9,115,0,0,[]
18,Num1241Line139Vers26,1,114,0,[]
19,Num1130Line122Vers12,0,115,0,[]
20,Num232Line16Vers38,0,115,0,[]
21,Num1343Line149Vers2,0,115,0,[]
22,Num1338Line146Vers24,0,115,0,[]
23,Num46Line10Vers7,0,115,0,[]
24,Num147Line14Vers28,0,115,0,[]
25,Num22Line8Vers9,0,115,0,[]
26,Num61Line11Vers15,0,115,0,[]
27,Num217Line16Vers23,0,115,0,[]
28,Num293Line20Vers44,0,115,0,[]
29,Num353Line38Vers2,0,115,0,[]
30,Num354Line38Vers3,0,115,0,[]
31,Num38Line9Vers12,0,115,0,[]
32,Num342Line36Vers1,115,0,0,[]
33,Num464Line62Vers1,0,115,0,[]
34,Num938Line114Vers43,0,115,0,[]
35,Num1369Line151Vers4,0,115,0,[]
36,Num276Line20Vers27,0,115,0,[]
37,Num229Line16Vers35,0,115,0,[]
38,Num137Line14Vers18,0,115,0,[]
39,Num117Line13Vers35,0,115,0,[]
40,Num1112Line120Vers1,0,115,0,[]
41,Num1166Line133Vers1,0,115,0,[]
42,Num1356Line150Vers4,0,115,0,[]
43,Num425Line43Vers11,115,0,0,[]
44,Num774Line101Vers50,0,115,0,[]
45,Num106Line13Vers24,0,115,0,[]
46,Num148Line14Vers29,0,115,0,[]
47,Num150Line14Vers31,0,115,0,[]
48,Num213Line16Vers19,0,115,0,[]
49,Num809Line104Vers10,0,115,0,[]
50,Num532Line82Vers15,0,115,0,[]
51,Num1137Line122Vers19,115,0,0,[]
52,Num219Line16Vers25,0,115,0,[]
53,Num1386Line152Vers10,0,115,0,[]
54,Num525Line82Vers8,0,115,0,[]
55,Num175Line15Vers19,0,115,0,[]
56,Num430Line43Vers16,114,1,0,[]
57,Num89Line13Vers7,0,115,0,[]
58,Num143Line14Vers24,0,115,0,[]
59,Num160Line15Vers4,0,115,0,[]
60,Num1367Line151Vers2,0,115,0,[]
61,Num227Line16Vers33,0,115,0,[]
62,Num1341Line148Vers1,12,103,0,[]
63,Num1234Line139Vers19,0,115,0,[]
64,Num1229Line139Vers14,0,115,0,[]
65,Num302Line22Vers1,0,115,0,[]
66,Num25Line8Vers12,0,115,0,[]
67,Num285Line20Vers36,0,115,0,[]
68,Num762Line101Vers38,0,115,0,[]
69,Num405Line42Vers8,0,114,0,[]
70,Num1303Line144Vers2,0,115,0,[]
71,Num783Line101Vers59,0,115,0,[]
72,Num264Line20Vers15,0,115,0,[]
73,Num569Line84Vers17,0,115,0,[]
74,Num1390Line153Vers1,0,115,0,[]
75,Num253Line20Vers4,0,115,0,[]
76,Num280Line20Vers31,0,115,0,[]
77,Num214Line16Vers20,0,115,0,[]
78,Num8Line7Vers8,115,0,0,[]
79,Num763Line101Vers39,0,115,0,[]
80,Num292Line20Vers43,0,115,0,[]
81,Num343Line37Vers1,0,115,0,[]
82,Num9Line7Vers9,115,0,0,[]
83,Num1309Line144Vers8,0,115,0,[]
84,Num1306Line144Vers5,0,115,0,[]
85,Num220Line16Vers26,0,115,0,[]
86,Num1072Line118Vers4,0,115,0,[]
87,Num1313Line144Vers12,0,115,0,[]
88,Num155Line14Vers36,0,115,0,[]
89,Num252Line20Vers3,0,115,0,[]
90,Num1167Line134Vers1,0,115,0,[]
91,Num1377Line152Vers1,0,115,0,[]
92,Num250Line20Vers1,0,115,0,[]
93,Num717Line92Vers7,0,115,0,[]
94,Num674Line88Vers4,0,115,0,[]
95,Num351Line37Vers9,0,115,0,[]
96,Num426Line43Vers12,0,115,0,[]
97,Num231Line16Vers37,0,115,0,[]
98,Num752Line101Vers28,0,115,0,[]
99,Num1331Line146Vers17,0,115,0,[]
100,Num411Line42Vers14,0,115,0,[]
101,Num568Line84Vers16,0,115,0,[]
102,Num706Line90Vers23,0,115,0,[]
103,Num283Line20Vers34,0,115,0,[]
104,Num1139Line122Vers21,115,0,0,[]
105,Num215Line16Vers21,0,115,0,[]
106,Num1233Line139Vers18,0,115,0,[]
107,Num1327Line146Vers13,0,115,0,[]
108,Num274Line20Vers25,0,115,0,[]
109,Num39Line9Vers13,0,115,0,[]
110,Num241Line19Vers1,0,115,0,[]
111,Num408Line42Vers11,0,115,0,[]
112,Num221Line16Vers27,0,115,0,[]
113,Num1188Line136Vers10,1,114,0,[]
114,Num462Line61Vers11,0,115,0,[]
115,Num297Line21Vers2,0,115,0,[]
116,Num64Line11Vers18,0,115,0,[]
117,Num427Line43Vers13,115,0,0,[]
118,Num145Line14Vers26,0,115,0,[]
119,Num230Line16Vers36,0,115,0,[]
120,Num670Line87Vers17,115,0,0,[]
121,Num128Line14Vers9,0,115,0,[]
122,Num1225Line139Vers10,1,114,0,[]
123,Num218Line16Vers24,0,115,0,[]
124,Num826Line104Vers27,0,115,0,[]
125,Num1314Line145Vers1,115,0,0,[]
126,Num75Line11Vers29,0,115,0,[]
127,Num1242Line139Vers27,0,115,0,[]
128,Num452Line61Vers1,0,115,0,[]
129,Num153Line14Vers34,0,115,0,[]
130,Num744Line101Vers20,0,115,0,[]
131,Num431Line43Vers17,115,0,0,[]
132,Num84Line13Vers2,0,115,0,[]
133,Num666Line87Vers13,0,115,0,[]
134,Num140Line14Vers21,0,115,0,[]
135,Num336Line34Vers8,115,0,0,[]
136,Num226Line16Vers32,0,115,0,[]
137,Num818Line104Vers19,0,115,0,[]
138,Num204Line16Vers10,0,115,0,[]
139,Num407Line42Vers10,0,115,0,[]
140,Num1326Line146Vers12,0,115,0,[]
141,Num1289Line141Vers1,0,115,0,[]
142,Num920Line114Vers25,0,115,0,[]
143,Num271Line20Vers22,0,115,0,[]
144,Num439Line51Vers3,115,0,0,[]
145,Num216Line16Vers22,0,115,0,[]
146,Num707Line90Vers24,0,115,0,[]
147,Num410Line42Vers13,0,115,0,[]
148,Num166Line15Vers10,0,115,0,[]
149,Num290Line20Vers41,0,115,0,[]
150,Num67Line11Vers21,0,115,0,[]
151,Num1362Line150Vers10,0,115,0,[]
152,Num299Line21Vers4,0,115,0,[]
153,Num367Line41Vers11,0,115,0,[]
154,Num1228Line139Vers13,1,114,0,[]
155,Num350Line37Vers8,0,115,0,[]
156,Num675Line88Vers5,0,115,0,[]
157,Num1080Line118Vers12,0,115,0,[]
158,Num1145Line122Vers27,1,114,0,[]
159,Num1335Line146Vers21,0,115,0,[]
160,Num116Line13Vers34,0,115,0,[]
161,Num157Line15Vers1,0,115,0,[]
162,Num671Line88Vers1,0,115,0,[]
163,Num459Line61Vers8,0,115,0,[]
164,Num1357Line150Vers5,0,115,0,[]
165,Num121Line14Vers2,0,115,0,[]
166,Num107Line13Vers25,0,115,0,[]
167,Num298Line21Vers3,0,115,0,[]
168,Num424Line43Vers10,0,115,0,[]
169,Num1246Line140Vers4,1,114,0,[]
170,Num449Line60Vers4,2,113,0,[]
171,Num820Line104Vers21,0,115,0,[]
172,Num188Line15Vers32,0,115,0,[]
173,Num127Line14Vers8,0,115,0,[]
174,Num225Line16Vers31,0,115,0,[]
