,file_name,cnt_no_v_scaled,cnt_v_scaled,otro_scaled,status_scaled,cnt_no_v_g,cnt_v_g,otro_g,status_g,cnt_no_v_l,cnt_v_l,otro_l,status_l,cnt_no_v_e,cnt_v_e,otro_e,status_e
0,Num44Line10Vers5,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
1,Num46Line10Vers7,79,1,0,[],79,1,0,[],0,80,0,[],0,80,0,[]
2,Num161Line15Vers5,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
3,Num1312Line144Vers11,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
4,Num1166Line133Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
5,Num1116Line121Vers4,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
6,Num1239Line139Vers24,80,0,0,[],0,80,0,[],0,80,0,[],1,79,0,[]
7,Num90Line13Vers8,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
8,Num83Line13Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
9,Num1231Line139Vers16,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
10,Num430Line43Vers16,80,0,0,[],14,66,0,[],0,80,0,[],66,14,0,[]
11,Num183Line15Vers27,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
12,Num1188Line136Vers10,80,0,0,[],0,80,0,[],0,80,0,[],1,79,0,[]
13,Num227Line16Vers33,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
14,Num418Line43Vers4,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
15,Num126Line14Vers7,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
16,Num120Line14Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
17,Num290Line20Vers41,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
18,Num241Line19Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
19,Num1235Line139Vers20,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
20,Num1305Line144Vers4,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
21,Num435Line43Vers21,80,0,0,[],0,80,0,[],0,80,0,[],80,0,0,[]
22,Num70Line11Vers24,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
23,Num64Line11Vers18,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
24,Num195Line16Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
25,Num215Line16Vers21,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
26,Num182Line15Vers26,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
27,Num1225Line139Vers10,80,0,0,[],0,80,0,[],0,80,0,[],1,79,0,[]
28,Num226Line16Vers32,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
29,Num340Line34Vers12,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
30,Num9Line7Vers9,80,0,0,[],0,80,0,[],0,80,0,[],80,0,0,[]
31,Num431Line43Vers17,80,0,0,[],0,80,0,[],0,80,0,[],80,0,0,[]
32,Num670Line87Vers17,80,0,0,[],0,80,0,[],0,80,0,[],80,0,0,[]
33,Num147Line14Vers28,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
34,Num1341Line148Vers1,0,80,0,[],0,80,0,[],0,80,0,[],0,80,0,[]
35,Num1237Line139Vers22,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
36,Num214Line16Vers20,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
37,Num1229Line139Vers14,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
38,Num351Line37Vers9,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
39,Num434Line43Vers20,80,0,0,[],14,66,0,[],0,80,0,[],66,14,0,[]
40,Num1303Line144Vers2,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
41,Num342Line36Vers1,80,0,0,[],0,80,0,[],0,80,0,[],80,0,0,[]
42,Num674Line88Vers4,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
