,index,mutant_ID,is_output_x_equal_true,is_output_x_equal_false,is_output_x_equal_other,is_output_y_equal_true,is_output_y_equal_false,is_output_y_equal_other,is_int_x_equal_true,is_int_x_equal_false,is_int_x_equal_other,is_int_y_equal_true,is_int_y_equal_false,is_int_y_equal_other
0,6,Num336Line34Vers8,0,195,0,0,195,0,0,195,0,0,195,0
1,16,Num419Line43Vers5,0,195,0,0,195,0,0,195,0,0,195,0
2,17,Num1219Line139Vers4,0,195,0,0,195,0,0,195,0,0,195,0
3,66,Num1251Line140Vers9,0,195,0,0,195,0,0,195,0,0,195,0
4,82,Num427Line43Vers13,0,195,0,0,195,0,0,195,0,0,195,0
5,97,Num684Line90Vers1,0,195,0,0,195,0,0,195,0,0,195,0
6,100,Num707Line90Vers24,0,195,0,0,195,0,0,195,0,0,195,0
7,113,Num439Line51Vers3,0,195,0,0,195,0,0,195,0,0,195,0
8,121,Num435Line43Vers21,0,195,0,0,195,0,0,195,0,0,195,0
9,127,Num1141Line122Vers23,0,195,0,0,195,0,0,195,0,0,195,0
10,147,Num670Line87Vers17,0,195,0,0,195,0,0,195,0,0,195,0
11,163,Num1200Line137Vers9,0,195,0,0,195,0,0,195,0,0,195,0
12,166,Num1228Line139Vers13,0,195,0,0,195,0,0,195,0,0,195,0
13,179,Num1188Line136Vers10,0,195,0,0,195,0,0,195,0,0,195,0
14,184,Num425Line43Vers11,0,195,0,0,195,0,0,195,0,0,195,0
15,190,Num1246Line140Vers4,0,195,0,0,195,0,0,195,0,0,195,0
16,192,Num1139Line122Vers21,0,195,0,0,195,0,0,195,0,0,195,0
17,193,Num24Line8Vers11,0,195,0,0,195,0,0,195,0,0,195,0
18,198,Num327Line33Vers6,0,195,0,0,195,0,0,195,0,0,195,0
19,215,Num706Line90Vers23,0,195,0,0,195,0,0,195,0,0,195,0
20,227,Num1314Line145Vers1,0,195,0,0,195,0,0,195,0,0,195,0
21,230,Num1241Line139Vers26,0,195,0,0,195,0,0,195,0,0,195,0
22,238,Num9Line7Vers9,0,195,0,0,195,0,0,195,0,0,195,0
23,251,Num1225Line139Vers10,0,195,0,0,195,0,0,195,0,0,195,0
24,252,Num1238Line139Vers23,0,195,0,0,195,0,0,195,0,0,195,0
25,269,Num515Line74Vers4,0,195,0,0,195,0,0,195,0,0,195,0
26,287,Num342Line36Vers1,0,195,0,0,195,0,0,195,0,0,195,0
27,299,Num337Line34Vers9,0,195,0,0,195,0,0,195,0,0,195,0
28,300,Num1239Line139Vers24,0,195,0,0,195,0,0,195,0,0,195,0
29,315,Num341Line35Vers1,0,195,0,0,195,0,0,195,0,0,195,0
30,327,Num1298Line142Vers1,0,195,0,0,195,0,0,195,0,0,195,0
31,334,Num431Line43Vers17,0,195,0,0,195,0,0,195,0,0,195,0
32,335,Num1137Line122Vers19,0,195,0,0,195,0,0,195,0,0,195,0
33,365,Num8Line7Vers8,0,195,0,0,195,0,0,195,0,0,195,0
34,386,Num1212Line138Vers10,0,195,0,0,195,0,0,195,0,0,195,0
