,mutant_ID,HMR1_v,HMR2_v,HMR3_v,GMR1_v_sca,GMR1_v_g,GMR1_v_e,GMR5_v_ref,HMR1_nv,HMR2_nv,HMR3_nv,GMR1_nv_sca,GMR1_nv_g,GMR1_nv_e,GMR5_nv_ref
0,Num324Line33Vers3,124,2,171,11,5,5,190,70,193,23,184,190,190,5
1,Num446Line60Vers1,124,4,161,2,0,0,194,71,191,34,193,195,195,1
2,Num1343Line149Vers2,0,0,193,2,1,1,2,195,195,2,193,194,194,193
3,Num1072Line118Vers4,193,0,3,3,161,161,195,0,194,0,192,34,34,0
4,Num461Line61Vers10,190,0,176,0,1,1,195,5,194,19,195,194,194,0
5,Num474Line63Vers10,4,3,84,3,2,2,170,191,192,111,192,193,193,25
6,Num452Line61Vers1,117,0,170,8,3,3,195,78,195,25,187,192,192,0
7,Num510Line72Vers12,193,0,159,0,2,2,188,0,195,36,195,193,193,7
8,Num569Line84Vers17,189,0,91,1,3,3,189,0,195,95,194,192,192,6
9,Num1380Line152Vers4,0,0,190,2,1,1,2,195,195,5,193,194,194,193
10,Num1332Line146Vers18,195,0,98,194,122,122,194,0,195,96,1,73,73,1
11,Num1328Line146Vers14,195,0,98,194,122,122,194,0,195,96,1,73,73,1
12,Num1335Line146Vers21,195,0,137,195,14,14,195,0,195,58,0,181,181,0
13,Num1354Line150Vers2,0,0,189,2,1,1,2,195,195,6,193,194,194,193
14,Num1378Line152Vers2,0,0,192,2,1,1,2,195,195,3,193,194,194,193
15,Num1342Line149Vers1,0,0,193,2,1,1,2,195,195,2,193,194,194,193
16,Num1357Line150Vers5,0,0,189,2,1,1,2,195,195,6,193,194,194,193
17,Num1369Line151Vers4,0,0,129,2,1,1,2,195,195,66,193,194,194,193
18,Num1353Line150Vers1,0,0,189,2,1,1,2,195,195,6,193,194,194,193
19,Num463Line61Vers12,190,0,151,0,2,2,188,5,195,44,195,193,193,7
20,Num594Line85Vers16,195,0,101,0,2,2,181,0,195,92,195,193,193,14
21,Num1345Line149Vers4,0,0,193,2,1,1,2,195,195,2,193,194,194,193
22,Num1323Line146Vers9,195,0,151,1,76,76,195,0,195,44,194,119,119,0
23,Num338Line34Vers10,1,0,80,1,1,1,1,194,195,115,194,194,194,194
24,Num462Line61Vers11,193,0,148,0,1,1,184,2,195,47,195,194,194,11
25,Num1362Line150Vers10,0,0,195,2,1,1,2,195,195,0,193,194,194,193
26,Num1374Line151Vers9,0,0,147,2,1,1,2,195,195,48,193,194,194,193
27,Num1336Line146Vers22,195,0,136,195,116,116,195,0,195,59,0,79,79,0
28,Num1341Line148Vers1,195,25,136,195,195,195,195,0,170,59,0,0,0,0
29,Num503Line72Vers5,9,3,134,3,2,2,172,186,192,61,192,193,193,23
30,Num1366Line151Vers1,0,0,129,2,1,1,2,195,195,66,193,194,194,193
31,Num1326Line146Vers12,195,0,157,1,65,65,195,0,195,38,194,130,130,0
32,Num509Line72Vers11,189,0,158,0,2,2,187,3,195,37,195,193,193,8
33,Num405Line42Vers8,0,0,82,195,10,10,23,195,193,85,0,185,185,172
34,Num1381Line152Vers5,0,0,192,2,1,1,2,195,195,3,193,194,194,193
35,Num1327Line146Vers13,195,0,94,194,122,122,195,0,195,101,1,73,73,0
36,Num568Line84Vers16,191,0,86,1,2,2,189,0,195,95,194,193,193,6
37,Num1367Line151Vers2,0,0,129,2,1,1,2,195,195,66,193,194,194,193
38,Num1350Line149Vers9,0,0,193,2,1,1,2,195,195,2,193,194,194,193
39,Num449Line60Vers4,124,4,161,2,0,0,194,71,191,34,193,195,195,1
40,Num1386Line152Vers10,0,0,195,2,1,1,2,195,195,0,193,194,194,193
41,Num1318Line146Vers4,195,0,96,1,85,85,195,0,195,99,194,110,110,0
42,Num1176Line135Vers9,195,0,5,3,195,195,195,0,195,5,192,0,0,0
43,Num1338Line146Vers24,195,0,128,1,59,59,194,0,195,67,194,136,136,1
44,Num459Line61Vers8,117,0,170,8,3,3,195,78,195,25,187,192,192,0
45,Num1356Line150Vers4,0,0,194,2,1,1,2,195,195,1,193,194,194,193
46,Num1377Line152Vers1,0,0,192,2,1,1,2,195,195,3,193,194,194,193
47,Num455Line61Vers4,65,2,161,61,22,22,195,130,193,33,134,173,173,0
48,Num635Line86Vers17,193,0,97,0,2,2,189,0,195,91,195,193,193,6
49,Num1331Line146Vers17,195,0,94,194,122,122,195,0,195,101,1,73,73,0
